N,T,p,chunk,TIME_mean,RSS_mean,TIME_dec_mean,TIME_std,RSS_std,TIME_dec_std,S_pred
5000000,16,10,4,0.0734967,1544.4,0.044917399999999996,0.02389581953234126,725.2535495336173,0.013682953175393095,9
5000000,16,10,10,0.0703456,2579.6,0.0459878,0.02143001160470469,1276.8175019685991,0.01222722226836496,8
5000000,16,10,50,0.0962615,2660.8,0.052890599999999996,0.008409697157316534,1241.4354415576977,0.004056972220757742,10
10000000,4,10,0,0.0539609,1125.6,0.043473500000000005,0.0021840856947982204,57.26197109193267,0.001459569209656662,10
10000000,4,10,1,0.055156899999999995,1286.8,0.0449044,0.0017353614705107798,618.707038912602,0.0020964897222632783,10
10000000,4,10,4,0.054285799999999995,1333.2,0.044193,0.0012755273245036963,601.2906119340297,0.0014815357647462387,10
10000000,4,10,10,0.05536870000000001,1094.4,0.0445689,0.003704879696652329,64.69621318129833,0.0018254163269420672,10
10000000,4,10,50,0.0546021,1311.2,0.044072900000000005,0.0035492467573337945,608.4846021972218,0.0028139636517434505,10
10000000,6,10,0,0.0782192,1319.2,0.05749610000000001,0.00488359000008077,580.8891269233551,0.0035271392389741446,10
10000000,6,10,1,0.07440060000000001,1684.4,0.053044999999999995,0.015144554028135363,890.7334306314344,0.011662950817772395,9
10000000,6,10,4,0.0814521,1867.6,0.0595946,0.00363786339765528,966.4237855792527,0.0033101499865313246,10
10000000,6,10,10,0.082371,1670.0,0.05906859999999999,0.0051428235003308795,942.6001862460622,0.0052718828430752445,10
10000000,6,10,50,0.07563120000000001,1662.8,0.055007099999999996,0.011293084617489494,904.9317715226442,0.009977087054847221,10
10000000,8,10,0,0.09371940000000001,1288.4,0.0653629,0.005513088229134577,614.9007507991297,0.0039809049906327125,10
10000000,8,10,1,0.0907785,1872.8,0.06479929999999999,0.007070884987043702,972.0188384091238,0.0025577003581776785,10
10000000,8,10,4,0.0909002,1321.6,0.06272660000000001,0.0060043770478987535,582.6504955803264,0.0033767297197140325,10
