N,T,sched,chunk,TIME_mean,RSS_mean,TIME_std,RSS_std
1000,16,dynamic,4,0.029322000000000004,1109.6,0.010044361259488386,39.964428627913044
1000,16,dynamic,10,0.031908599999999995,1318.8,0.007280776671024413,579.5693420309792
1000,16,dynamic,50,0.0226356,1458.4,0.009940841974176813,795.1658387475603
10000,2,static,0,0.0003451,1089.2,6.8223488949513955e-06,54.684549920429994
10000,2,static,1,0.0005623999999999999,1103.2,6.963396361610377e-06,43.1143183228547
10000,2,static,4,0.0003091,1109.6,9.96047745397334e-06,66.6453299189073
10000,2,static,10,0.00029950000000000007,1116.4,3.979112128771113e-06,55.91898902281168
10000,2,static,50,0.0003009,1123.2,4.332051092342593e-06,52.282990648117206
10000,2,dynamic,0,0.0005388,1077.6,9.600925881277178e-06,61.31014054243664
10000,2,dynamic,1,0.0005555,1116.0,2.004578093598085e-05,47.62818959864467
10000,2,dynamic,4,0.00036339999999999994,1128.0,6.669999167083065e-06,35.276684147527874
10000,2,dynamic,10,0.00032730000000000004,1115.2,6.976946164173669e-06,47.508595713477646
10000,2,dynamic,50,0.0003055,1089.6,6.204836822995435e-06,54.42875057255025
10000,4,static,0,0.00024359999999999999,1123.6,3.3399933466334193e-06,52.81245644311156
10000,4,static,1,0.0003424,1129.2,5.015531433014415e-06,62.908752261597996
10000,4,static,4,0.00021940000000000002,1123.2,2.1705094128132982e-06,42.69998698932927
10000,4,static,10,0.00021379999999999997,1110.0,5.977736472389304e-06,65.86855597830171
10000,4,static,50,0.00021380000000000002,1115.2,7.4654760955570226e-06,36.69937934685605
10000,4,dynamic,0,0.0005804,1140.8,2.543051535284158e-05,42.44944705830166
10000,4,dynamic,1,0.0005924999999999999,1083.2,2.531249142661034e-05,62.04801008538111
10000,4,dynamic,4,0.0002667,1122.0,7.572611467944495e-06,42.71871824960212
10000,4,dynamic,10,0.00022870000000000003,1102.8,5.657836257007719e-06,60.51776598652663
10000,4,dynamic,50,0.00021859999999999995,1091.2,3.3730961708462742e-06,69.14847150234856
10000,6,static,0,0.007559200000000002,1109.2,0.0065349601852055855,51.08772411798705
10000,6,static,1,0.0003597,1089.6,1.3482910994621623e-05,69.15875456754071
10000,6,static,4,0.00024139999999999999,1096.8,1.5283978539634236e-05,62.04801008538111
10000,6,static,10,0.000221,1097.6,1.5895492023421815e-05,74.83789889562047
10000,6,static,50,0.0002,1090.4,5.849976258261415e-06,62.68652167731114
