N,T,p,umbral,chunk,TIME_mean,RSS_mean,TIME_dec_mean,desv_mean,desbalanceos_mean,TIME_std,RSS_std,TIME_dec_std,desv_std,desbalanceos_std,S_pred
100,6,10,25,4,0.0006169,2306.0,0.0001526,2.9095315981e-06,32.76517673525608,7.936553968120494e-06,97.98412569844612,6.310485101972928e-06,4.085832665778554e-08,0.2653248628520953,0
100,6,10,25,10,0.0012850000000000001,2463.6,0.0006781,0.0,0.0,0.001591742581086667,629.9501214822928,0.0015828419904294509,0.0,0.0,10
100,6,10,25,50,0.0016175,2232.4,0.0001555,0.0,0.0,1.2158673173226287e-05,64.06801940992956,1.2642520845675256e-05,0.0,0.0,10
100,6,10,50,1,0.0005675,2256.8,0.00015,1.2800375716e-06,48.204186784221115,2.592724864350677e-06,88.72028454017091,2.494438257849299e-06,1.3424314570935945e-08,0.47108741295736256,10
100,6,10,50,4,0.0006125,2263.6,0.00014869999999999998,2.911334057e-06,32.83631320710599,3.0276503540974994e-06,84.08355632610008,2.0027758514399763e-06,4.163569587228131e-08,0.22423769472598534,10
100,6,10,50,10,0.0007596,2270.4,0.000157,0.0,0.0,9.617114374327083e-06,79.02067240075009,6.8637534273246685e-06,0.0,0.0,10
100,6,10,50,50,0.0021307,2317.6,0.0006582,0.0,0.0,0.0016006096095620014,87.57878992338524,0.0015930190624513355,0.0,0.0,10
100,8,10,10,1,0.000512,2267.2,0.00018899999999999999,1.3112416959999999e-06,48.60673845754465,3.741657386773942e-06,99.86301728979664,4.109609335312651e-06,1.2135573399700148e-07,1.8019733344517008,0
100,8,10,10,4,0.0005589,2220.8,0.0001939,2.9084768734e-06,32.83287263680532,1.6986596022877713e-05,18.647609319516896,1.7691491991601184e-05,8.412625548261122e-08,0.7857057419614537,0
100,8,10,10,10,0.0007452,2476.0,0.0002185,0.0,0.0,9.346157855860702e-05,625.3120110081935,8.46066059937271e-05,0.0,0.0,10
100,8,10,10,50,0.001677,2311.2,0.0001993,0.0,0.0,2.9567249148715585e-05,104.44009447206247,1.2884529914246434e-05,0.0,0.0,10
100,8,10,25,1,0.0004802,2246.8,0.0001647,1.2785737083e-06,47.91462850674958,6.051629716218789e-06,69.56499758419379,7.18099343173816e-06,1.5703142480164572e-08,0.5339785430329896,0
100,8,10,25,4,0.0005572,2349.2,0.000193,2.894676191e-06,32.748191886367,1.1173381065928273e-05,76.47919106964108,1.1766241729815193e-05,3.415630245875921e-08,0.42858525965513306,0
100,8,10,25,10,0.0007175,2241.6,0.0001873,0.0,0.0,1.8343936327844144e-05,71.80714913340222,3.888730155490642e-06,0.0,0.0,10
100,8,10,25,50,0.0017016,2514.4,0.0002197,0.0,0.0,7.133987508944615e-05,656.8130462907826,6.991431263418894e-05,0.0,0.0,10
100,8,10,50,1,0.0005139,2266.8,0.0001906,1.2874901436000001e-06,48.280604983275346,4.5080175490144494e-06,74.28593406560894,2.875181153713044e-06,1.751886222856578e-08,0.25653310681181973,10
100,8,10,50,4,0.0005523,2304.8,0.0001872,3.1526814073999998e-06,34.70985309549845,4.137900702315391e-06,76.7749959296645,3.966526608171607e-06,7.580548617575001e-07,5.4705238999858725,9
100,8,10,50,10,0.0007092,2282.4,0.0001838,0.0,0.0,7.6128546259307796e-06,99.54920614673149,6.303438215238833e-06,0.0,0.0,10
100,8,10,50,50,0.0016695,2268.0,0.00019569999999999999,0.0,0.0,1.8518759257694423e-05,85.33333333333333,5.056349144062999e-06,0.0,0.0,10
100,16,10,10,1,0.007090300000000001,2269.2,0.0048885000000000005,1.274786904e-06,47.87869603868529,0.013852162366696882,91.19551645899168,0.009613382238086426,9.690652678208351e-09,0.47586645430465013,0
100,16,10,10,4,0.0006103,2459.6,0.0003639,2.8799341247e-06,32.57738832794275,7.942438752255715e-05,633.8326452796687,7.997978911366712e-05,3.0761341879470464e-08,0.519270101177565,0
100,16,10,10,10,0.0007909,2300.0,0.0003462,0.0,0.0,2.0701315041427798e-05,95.75895664520253,2.0291213205063253e-05,0.0,0.0,10
100,16,10,10,50,0.005156399999999999,2308.8,0.0027324,0.0,0.0,0.010479029060196581,89.55792662976417,0.007489576463325547,0.0,0.0,10
100,16,10,25,1,0.000514,2256.4,0.0003364,1.2810419398e-06,48.19470583286263,8.432740427115675e-06,85.44679956297693,7.988881162104134e-06,1.4635805052220182e-08,0.5499387247365628,0
100,16,10,25,4,0.0005887,2232.8,0.0003345,3.1064475389e-06,34.10702246637176,1.0551987701113212e-05,61.64558198101287,5.4619898693913165e-06,7.136559666780184e-07,5.081990191923124,0
100,16,10,25,10,0.0007905,2267.6,0.0003407,0.0,0.0,2.0812656405818707e-05,102.50983692634901,1.729515025150757e-05,0.0,0.0,10
100,16,10,25,50,0.0045251,2267.6,0.002102,0.0,0.0,0.008485445977279764,73.11361022408892,0.005489060271728364,0.0,0.0,10
100,16,10,50,1,0.000527,2292.4,0.0003503,1.2696404029e-06,47.70183389659328,1.3912424503139456e-05,100.12347931984341,1.4877649157190276e-05,1.1403298401124238e-08,0.6357500522141128,10
100,16,10,50,4,0.0005836,2300.4,0.0003355,2.9004252625e-06,32.7935218884366,5.21109926556342e-06,93.18941284645304,5.296749527356903e-06,2.462062427550875e-08,0.30777671232718967,10
100,16,10,50,10,0.000782,2248.8,0.0003363,0.0,0.0,5.906681715556451e-06,81.0552623557259,6.360468186820486e-06,0.0,0.0,10
100,16,10,50,50,0.0018281999999999999,2245.6,0.000354,0.0,0.0,2.4123755005296234e-05,87.55848838855596,1.9894164415169037e-05,0.0,0.0,10
200,2,10,10,1,0.009637,3038.0,0.0002444,5.4554154720999996e-06,54.468097311425744,8.02579175741147e-05,71.83313998427188,7.618690467819545e-06,6.658953543236177e-07,4.536632752644391,0
200,2,10,10,4,0.0097598,3072.0,0.0002429,2.06651622771e-05,52.31955370735349,5.8942156202312125e-05,88.60398787112614,3.928528138289627e-06,4.204461308024702e-07,0.8049863566871839,0
200,2,10,10,10,0.0100014,3104.4,0.0002427,4.55353409053e-05,46.1847711217038,0.00016780623746849607,91.16432050606933,3.301514803843831e-06,9.338606748289587e-07,0.5713093089292333,0
200,2,10,10,50,0.0098751,3056.0,0.0002394,0.0,0.0,2.854022502441839e-05,85.14562688581121,4.7422451316743335e-06,0.0,0.0,10
200,2,10,25,1,0.0096273,3046.4,0.0002428,5.2396919606e-06,53.12851793809902,6.60421582526393e-05,77.19988485886635,5.921711464320652e-06,6.092000864631791e-08,0.1598937542877569,0
200,2,10,25,4,0.0097104,3073.6,0.0002386,2.06611916408e-05,52.34579313416514,3.048934240025519e-05,82.90717701140234,3.596294389136318e-06,2.87498282299703e-07,0.25947808638123077,0
200,2,10,25,10,0.0099915,3060.8,0.0002419,4.56735491753e-05,46.24642206859265,9.5113090581686e-05,81.27429551285641,6.505553183413554e-06,6.832254176053748e-07,0.4856296163312385,0
200,2,10,25,50,0.009865,3054.4,0.000241,0.0,0.0,4.264322272582675e-05,73.9296963337467,2.3570226039551516e-06,0.0,0.0,10
200,2,10,50,1,0.0096553,3092.0,0.0002447,5.2848205537e-06,53.31156958394516,0.0001730253995484158,75.16500367709548,7.1655037816223646e-06,2.094837481715186e-07,1.1106739737573386,0
200,2,10,50,4,0.0096992,3063.2,0.0002425,2.07399062557e-05,52.383399529513554,3.503268315286303e-05,102.56791787775443,6.096447052723965e-06,4.863613608471089e-07,0.7220255950358834,0
200,2,10,50,10,0.0099403,3060.4,0.0002427,4.59536910058e-05,46.344259039124765,8.619493411254886e-05,87.62445117913403,8.512082915218544e-06,1.051974020640662e-06,0.7443546472325672,10
200,2,10,50,50,0.0099017,3094.4,0.00023920000000000001,0.0,0.0,6.7939597355952e-05,93.47037558023992,2.898275349237886e-06,0.0,0.0,10
200,4,10,10,1,0.0050869,2987.2,0.0002952,5.2184765132e-06,53.10869724534933,1.785403782528402e-05,14.335658726096653,1.2398924684557655e-05,1.8255180840938328e-08,0.1662765859921502,0
200,4,10,10,4,0.0053078,3048.0,0.0002951,2.06301073063e-05,52.345893665593785,5.5389128496082645e-05,77.42523275177587,7.340148348485725e-06,2.161394264409047e-07,0.1830256193651245,0
200,4,10,10,10,0.0057123,3075.6,0.00029,4.5669823885e-05,46.2136863118902,5.949425742596244e-05,104.99439138459836,8.151346173758323e-06,1.1666289138616057e-06,1.0632959281007457,0
200,4,10,10,50,0.0070324,3041.2,0.0002867,0.0,0.0,3.436147713808454e-05,98.91949588764929,2.7908580918579215e-06,0.0,0.0,10
200,4,10,25,1,0.0051204,3070.8,0.0003009,5.2300846519e-06,53.09567374150151,4.428744492266153e-05,87.71772910877253,9.803060746521976e-06,7.807459263387358e-08,0.38901782035638016,0
200,4,10,25,4,0.0052692,3059.6,0.0002902,2.0681311501300002e-05,52.27083764723281,5.9814156629792415e-05,100.60174506990975,4.732863826479692e-06,3.444053034652518e-07,0.7500403190128345,0
200,4,10,25,10,0.0056777,3046.8,0.0002892,4.56050038336e-05,46.024001620486956,2.5961723962616843e-05,82.86106175735111,5.533734925185907e-06,1.5349130337194165e-06,1.0447917063205132,0
200,4,10,25,50,0.0071381,3270.4,0.0003156,0.0,0.0,8.11438366249847e-05,701.1234159864042,7.006060868197542e-05,0.0,0.0,10
200,4,10,50,1,0.0050874,3049.6,0.0003664,5.2285297354e-06,53.157850397142866,0.0003400631313937653,83.27090995326306,0.00024412619687366616,3.302241980038121e-08,0.313895278515013,0
200,4,10,50,4,0.0052167,3066.8,0.000283,2.08206563271e-05,52.479521391677864,1.6553280977229567e-05,92.7994252855767,3.3665016461206883e-06,4.798034991228002e-07,1.1750635453551859,1
200,4,10,50,10,0.0056541,3062.8,0.0002801,4.64629381896e-05,46.775300346901155,1.7084430859053447e-05,81.58540174429355,5.820461990063821e-06,2.8022102845961347e-06,1.4172984812469123,9
200,4,10,50,50,0.0069887,3100.0,0.0002792,0.0,0.0,1.9143028902333058e-05,90.90165626164966,3.99444058105206e-06,0.0,0.0,10
200,6,10,10,1,0.0059872,3056.0,0.0028257,5.3047108959e-06,53.55545707368635,0.006505269364992591,94.52571666541921,0.006498312226177571,1.2725515922480133e-07,0.7682154539522049,0
200,6,10,10,4,0.0037106,3065.2,0.0003052,2.05529014051e-05,52.09443217601503,4.57529598313959e-06,85.83291262032816,4.685675570881491e-06,2.861162271908459e-07,0.8064532117904698,0
200,6,10,10,10,0.0041183999999999995,3312.4,0.0003232,4.5372173190099996e-05,46.216298693886706,7.275407586902291e-05,689.5730079790924,6.444601530652528e-05,6.474227536431546e-07,0.4361805413125334,0
200,6,10,10,50,0.0070211,3283.6,0.0003189,0.0,0.0,5.132348390357001e-05,666.3184423882223,5.257893536811528e-05,0.0,0.0,10
200,6,10,25,1,0.0034603999999999998,3066.8,0.0003072,5.2954337377e-06,53.614957785307965,4.477102237434902e-06,105.73005459397268,3.852848873813305e-06,1.1023495884886542e-07,0.8163142633922487,0
200,6,10,25,4,0.0037108,3074.8,0.0003044,2.0578823163e-05,52.25362837876891,7.3605555345896376e-06,71.15679088385654,2.836272984824341e-06,2.239004599636459e-07,0.4247967171918214,0
200,6,10,25,10,0.0040968,3105.6,0.0003022,4.54753637313e-05,46.240614380980524,6.679986693266934e-06,76.01637250546023,3.489667287547307e-06,5.374979869752995e-07,0.43111885516171333,0
200,6,10,25,50,0.0070142,3095.2,0.000306,0.0,0.0,1.597776232420826e-05,96.34751914006112,3.496029493900516e-06,0.0,0.0,10
200,6,10,50,1,0.0034603,3057.6,0.0003041,5.2553297599e-06,53.29002217025622,9.91127304302188e-06,88.54778998434185,6.314885412877878e-06,1.0163033305098733e-07,0.8706123737660368,0
200,6,10,50,4,0.0037108,3048.0,0.0003053,2.13251503366e-05,53.517923404256436,7.004760286167303e-06,82.94576541331088,5.945119380167611e-06,1.777943696238871e-06,2.643237537599358,0
200,6,10,50,10,0.0040987,3050.8,0.0003042,4.5232847333e-05,45.75920464093188,7.746683878351753e-06,84.91669120051984,3.489667287547304e-06,1.0516313358193499e-06,1.256420052634311,10
200,6,10,50,50,0.0070054,3083.2,0.0003033,0.0,0.0,8.329332372872307e-06,94.55956382678121,5.498484639728789e-06,0.0,0.0,10
200,8,10,10,1,0.0027436,3081.2,0.0003425,5.7492269915e-06,56.28182645632917,1.452354410374173e-05,99.76060233267327,1.0731573354670176e-05,1.1777155632783642e-06,7.322388398190072,0
200,8,10,10,4,0.0029876,3098.4,0.0003366,2.10111186911e-05,52.75234433089936,6.535373831014635e-06,78.70507536931078,6.7856056799997156e-06,1.0569519174437463e-06,1.210824549459762,0
200,8,10,10,10,0.0035813,3071.6,0.00033779999999999997,4.62163239717e-05,46.636664894812,2.8303906287137704e-06,80.05442593080728,3.823901439919994e-06,1.1746103455537297e-06,0.6812880688939352,0
200,8,10,10,50,0.0070504,3285.6,0.0003527,0.0,0.0,6.29253526013164e-05,701.2451148572168,6.498726370947192e-05,0.0,0.0,10
200,8,10,25,1,0.0027396,3064.4,0.0003368,5.3176466912e-06,53.76409414631216,9.264028401414904e-06,81.4851042965659,5.006662228138295e-06,1.5790203958734426e-07,1.0319400701779373,0
200,8,10,25,4,0.011532,3020.0,0.0066798,2.05218022726e-05,52.08619759147647,0.01469004943641935,75.51894537870025,0.010204616915886651,8.34004759934686e-08,0.44707797991849074,0
200,8,10,25,10,0.0202263,3025.2,0.0130862,4.59343194962e-05,46.588824028002236,0.018602987108108322,84.2862846362193,0.01412577482476625,9.435722292950405e-07,0.5149838246549169,0
200,8,10,25,50,0.0072236999999999996,3079.6,0.0003853,0.0,0.0,5.230476927478889e-05,99.10622808100631,1.2374256431083933e-05,0.0,0.0,10
